Title,Stars Number,Reviews Number,Price before discount and after,Description,Estimated Shipping Time,Manufacturer Sku,Gender,Colorway,Materials,URL
Air Jordans 1 Retro High OG ‘Black White’ 555088-168,Rated 5.00 out of 5,55,"378.00,189.00","This original colorway of the iconic Air Jordans 1 features a clean and simple black and white upper. As a “remastered” edition of the silhouette, the shoe features its original shape and “Air” branding on the tongue. The versatile colorway has become a staple of every Air Jordans 1 fan’s rotation.",3-15 Days After Order,555088 010,Mens,"BLACK,WHITE-BLACK",Leather,https://www.jordanusd.net/product/air-jordans-1-retro-high-og-black-white/
Air Jordans 1 Retro High CN8607-002,Rated 5.00 out of 5,27,"378.00,189.00","Air Jordans 1 High is arguably the most desirable sneaker collaboration of 2020. Produced in Italy in extremely limited quantities, first ever collaboration with Jordans Brand featured a multilayered release rollout that only stoked demand for one of the most sought after Jordans 1s in recent history. Employing a minimal appearance that parallels the original “White/Grey” Jordans 1 from 1985, variation features supple grey leather overlays on the forefoot, eyelets, collar, and heel. White leather dots the mid-panel and perforated toe. An embroidered monogram Swoosh appears on either side and an “Air” Wings logo can be found on the collar. A white rubber midsole and icy blue translucent outsole tie together the look of the understated  Air Jordans 1.Air Jordans 1 High was released on June 25, 2020.",3-15 Days After Order,,,,,https://www.jordanusd.net/product/dior-x-air-jordans-1/
Air Jordans 1 High Black Smoke Grey 555088-035,Rated 5.00 out of 5,33,"298.00,149.00","The Air Jordans 1 High “Shadow 2.0” is a May 2021 release that is inspired by an original colorway of Michael Jordans’s first signature shoe. As one could imagine, the “Shadow 2.0” is indeed influenced by the original “Shadow” makeup of the Air Jordans 1 from 1985. The updated look draws favorably from the first edition “Shadow,” though there are some distinct differences between the two models. On the “Shadow 2.0,” black leather appears on the mid-panel and on the perforated toe. The first “Shadow” featured grey leather on the toebox. Moreover, the “Shadow 2.0” dons grey leather on the forefoot and eyestay panel. The “OG” “Shadow” displayed black leather on those panels. Grey leather can be found on the collar, heel, and  A black “Wings” logo graces the collar and grey  ” on the tongue tag on the black nylon tongue. It should be noted that the grey leather panels found on the “Shadow 2.0” are lighter in color than the original grey leather on the first “Shadow.” Release date: May 15, 2021.",3-15 Days After Order,555088 035,Mens,BLACK/WHITE-LIGHT SMOKE GREY,,https://www.jordanusd.net/product/air-jordans-1-high-black-smoke-grey/
Air Jordans 1 High ‘Hyper Royal’ 555088-402,Rated 5.00 out of 5,52,"298.00,149.00","The Air Jordans 1 High “Hyper Royal” is a breezy colorway of Michael Jordans’s first signature shoe that was released by Jordans Brand for its Spring/Summer 2021 collection. Dressed in a color palette that jives with the warm tones of spring and summer, the “Hyper Royal” displays faded light blue synthetic nubuck overlays on the forefoot, eyelets, collar, and heel. White leather detailing can be found on the perforated toe and mid-panel. Elsewhere, Jordans Brand places a Light Smoke Grey leather   either side of the shoe and a white “Wings” logo on the aforementioned Hyper Royal collar overlay. Classic   detailing can be found on the navy tongue tag stitched onto the white nylon tongue. Additional design elements include a grey collar and liner and white shoelaces. Release date: April 17, 2021.",3-15 Days After Order,555088 402,Mens,HYPER ROYAL/LIGHT SMOKE GREY-W,,https://www.jordanusd.net/product/air-jordans-1-high-hyper-royal/
Air Jordans 1 High “UNC” AQ0818-148,Rated 5.00 out of 5,30,"230.00,165.00","For his third edition of the monumental  Air Jordans 1, Virgil Abloh focused on the “UNC” colorway of Michael Jordans’s first signature shoe. Released in June 2018, the Air Jordans 1 “UNC” features the recognizable white and Carolina blue leather upper. The colors are complemented by Abloh’s deconstructed aesthetic and signature details such as bright orange detailing and a red zip tie. Like the “Chicago” and all-white colorways before it, the Air Jordans 1 “UNC” was an instant hit that was coveted by sneaker connoisseurs around the globe.",3-15 Days After Order,AQ0818 148,Mens,WHITE/DARK POWDER BLUE-CONE,"Leather, Rubber",https://www.jordanusd.net/product/air-jordans-1-high-unc/
Air Jordans 1 High University Blue 555088-134,Rated 5.00 out of 5,20,"298.00,149.00","The Air Jordans 1 High “University Blue” is inspired by an original colorway of Michael Jordans’s first signature shoe. An early 2021 release by Jordans Brand, the “University Blue” Jordans 1 comes in the desirable high-top silhouette and recruits a mixture of materials and “UNC” flavored colors for an appealing design. Full-grain white leather appears on the mid-panel and perforated toe. University Blue nubuck leather overlays on the forefoot, eyelets, collar, and heel contrast the crisp white base. Jordans Brand adds a black leather Swoosh on either side and a black “Wings” logo to the collar. Additional details include black laces on a white nylon tongue, a light blue “Air” logo on the black nylon tongue tag, and supple black leather on the collar. Release date: March 6, 2021",3-15 Days After Order,,,,,https://www.jordanusd.net/product/air-jordans-1-high-university-blue/
Air Jordans 1 Retro High OG’Mocha’ 555088-105,Rated 5.00 out of 5,25,"350.00,175.00","The Air Jordans 1 GS “Dark Mocha” is the youth sizing of the neutral based colorway of Michael Jordans’s first signature shoe. The “Dark Mocha” colorway is undoubtedly inspired by Travis Scott’s hit Air Jordans 1 collection of 2019. Though unlike the Houston rapper’s collaboration, the “Dark Mocha” features smooth black leather detailing on the forefoot, eyelets, and toe cap. The mid-panel, collar, and perforated toe display a white leather construction. A black leather Swoosh dots the mid-panel and a black “Wings” logo is placed on the brown nubuck collar. The earth toned hue appears on the heel, as well. Finishing touches include a white nylon tongue, black laces, and black “Air” on the tongue tag. Release date: October 31, 2020.",3-15 Days After Order,575441 105,Youth,SAIL/DARK MOCHA-BLACK-BLACK,,https://www.jordanusd.net/product/travis-scott-x-air-jordans-1-retro-high-og-mocha/
Air Jordans 1 High Travis Scott CD4487-100,Rated 5.00 out of 5,34,"378.00,189.00","The Air Jordans 1 High OG is the limited edition collaboration from the rap superstar and Jordans Brand on the iconic silhouette that features a major twist. One look at the Air Jordans 1 and you’ll notice the backwards Swoosh across the upper, a first for the legendary silhouette. Travis Scott’s Air Jordans 1 also features a premium construction in Sail leather and Dark Mocha nubuck with black accents. The Jordans 1 is further modified with a padded nylon collar that has a hidden stash pocket. Each pair is completed with Scott’s “face” logo embossed on the heels and a “Cactus Jack” logo on the right insole. The  Air Jordans 1 High had a special release at the Grammy Awards on February 10, 2019 during Scott’s performance, and then received a wider, but still limited release on April 26, 2019.",3-15 Days After Order,,,,,https://www.jordanusd.net/product/air-jordans-1-high-travis-scott/
Air Jordans 1 Retro High OG “Chicago” 555088-101,Rated 5.00 out of 5,20,"298.00,149.00","Perhaps the most iconic sneaker of all-time, this original “Chicago” colorway is the cornerstone to any sneaker collection. Made famous in 1985 by Michael Jordans, the shoe has stood the test of time, becoming the most famous colorway of the Air Jordans 1. This 2015 release saw the Chicago colorway return to its most accurate construction since the first retro in 1994, complete with   branding on the tongue.",3-15 Days After Order,555088 101,Mens,WHITE/BLACK-VARSITY RED,"Leather, Rubber",https://www.jordanusd.net/product/travis-scott-x-air-jordans-1-high-chicago/
Air Jordans 1 High OG ‘Dark Mocha’ 555088-105,Rated 5.00 out of 5,32,"338.00,169.00","The Air Jordans 1 GS “Dark Mocha” is the youth sizing of the neutral based colorway of Michael Jordans’s first signature shoe. The “Dark Mocha” colorway is undoubtedly inspired by Travis Scott’s hit Air Jordans 1 collection of 2019. Though unlike the Houston rapper’s collaboration, the “Dark Mocha” features smooth black leather detailing on the forefoot, eyelets, and toe cap. The mid-panel, collar, and perforated toe display a white leather construction. A black leather Swoosh dots the mid-panel and a black “Wings” logo is placed on the brown nubuck collar. The earth toned hue appears on the heel, as well. Finishing touches include a white nylon tongue, black laces, and black “Air” on the tongue tag. Release date: October 31, 2020.",3-15 Days After Order,575441 105,Youth,SAIL/DARK MOCHA-BLACK-BLACK,,https://www.jordanusd.net/product/air-jordans-1-high-og-dark-mocha/
Air Jordans 1 High OG “UNC Patent Leather” CD0461-401,Rated 5.00 out of 5,25,"378.00,189.00","The women’s Air Jordans 1 High “UNC Patent Leather” is another appealing look for the women’s collection of Michael Jordans’s first signature shoe. The colorway is inspired by Jordans’s college career at the University of North Carolina, and the striking women’s Jordans 1 features a full patent leather build that shines in tones of Blue Chill, Obsidian, and white across the upper with more of the Carolina blue tone for the outsole. It also features the Air Jordans wings logo embossed onto the ankle for an even cleaner look to the glossy colorway. The women’s Air Jordans 1 High “UNC Patent Leather” released in February 2019.",3-15 Days After Order,CD0461 401,Womens,OBSIDIAN/BLUE CHILL-WHITE,,https://www.jordanusd.net/product/air-jordans-1-retro-high-unc-patent/
Air Jordans 1 Mid GS “Light Smoke Grey”554724-092,Rated 5.00 out of 5,20,"378.00,189.00","The Air Jordans 1 Mid GS “Light Smoke Grey” is a neutral colorway of Michael Jordans’s first signature shoe for children. The smaller youth version of its adult sized counterpart, the “Light Smoke Grey” design features a refined color block for endless versatility. Smooth white leather is located on the perforated toe, mid-panel, and collar. Light Smoke Grey leather overlays can be found on the forefoot, eyelets, collar, and heel. Branding appears in the form of a black leather Swoosh on each side and black leather “Wings” insignia on the collar overlay. Black cotton laces, a light grey nylon tongue, and black nylon tongue tab with white Jumpman branding complete the look of this Jordans 1 in mid-top height.",3-15 Days After Order,554725 092,Youth,LIGHT SMOKE GREY/BLACK-WHITE,"Boost, Canvas, Cashmere",https://www.jordanusd.net/product/air-jordans-1-mid-gs-light-smoke-grey554724-092/
Wmns Air Jordans 1 Mid “Guava Ice” BQ6472-800,Rated 5.00 out of 5,30,"378.00,189.00",Wmns Air Jordans 1 Mid BQ6472 800,3-15 Days After Order,BQ6472 800,Womens,Guava Ice/Sail-Black,,https://www.jordanusd.net/product/air-jordans-1-high-barely-tan/
Air Jordans 1 Retro High OG “Obsidian/University Blue” 555088-140,Rated 5.00 out of 5,20,"378.00,189.00","The Air Jordans 1 High “Obsidian/University Blue” is a 2019 release of the legendary silhouette in a colorway inspired by Michael Jordans’s college career at the University of North Carolina. Similar to the women’s exclusive “UNC Patent Leather” colorway that released in February 2019, this fall release in men’s sizing replaces the glossy patent leather construction with full-grain leather for the Sail, Obsidian, and University Blue color blocking. The clean look became an instant hit, and the Air Jordans 1 High “Obsidian/University Blue” is now yet another coveted colorway of Michael Jordans’s first signature shoe.",3-15 Days After Order,555088 140,Mens,SAIL/OBSIDIAN-UNIVERSITY BLUE,,https://www.jordanusd.net/product/air-jordans-1-high-obsidian/
Air Jordans 1 Mid “Multicolor” 554724-125,Rated 5.00 out of 5,19,"300.00,150.00","The Air Jordans 1 Mid receives multi-color treatment with this unique colorway. For this 2019 release, Jordans Brand covered the mid-top Jordans 1 in a wide array of eye-catching colors like red, teal, orange, and purple. The bright shades all accent a toned-down base layer composed of black nubuck and white leather.",3-15 Days After Order,554724 125,Mens,WHITE/UNIVERSITY RED BLACK,,https://www.jordanusd.net/product/air-jordans-1-mid-se-wmns-multi-patent/
Air Jordans 1 Mid WMNS “Digital Pink”   CW5379-600,Rated 5.00 out of 5,30,"320.00,160.00","The Air Jordans 1 Mid “Digital Pink” is a springtime-inspired makeup of Michael Jordans’s first signature shoe in the popular mid-top silhouette. A Spring 2020 release by Jordans Brand, the “Digital Pink” recruits an interesting combination of soothing shades of pink in materials not commonly found on the Air Jordans 1. Both the perforated suede toe and the basketball-like pebbled leather collar and heel overlays display a Digital Pink construction. A lighter variant of the hue can be found on the laces and on the smooth leather toe cap, forefoot, and eyelets. A white leather Swoosh adorns both sides and a tonal embossed “Wings” logo appears on the collar. The pink tongue tag stitched onto the textured mesh tongue features white Jumpman and “Air” insignia. A cream-colored rubber midsole and Digital Pink outsole complete the look.",3-15 Days After Order,CW5379 600,Womens,DIGITAL PINK/WHITE-PINK FOAM-S,,https://www.jordanusd.net/product/air-jordans-1-mid-wmns-digital-pink-cw5379-600/
Air Jordans 1 Retro High OG Rust Pink Q6472-800,Rated 5.00 out of 5,27,"378.00,189.00","Jordans Brand paid tribute to Miami with a special two-colorway set of the Air Jordans 1 High featuring the pink and turquoise tones associated with South Beach. A special limited release in 2017, the “Rust Pink” edition is available here, featuring the original “Black Toe” color block, but with a muted pink shade replacing the usual red heel panels and outsole. The Air Jordans 1 Rust Pink joins its “Igloo” counterpart to become the two most sought-after Air Jordans 1’s of 2017 due to their extremely limited availability. Cop some South Beach vibes with your own pair now.",3-15 Days After Order,861428 101,Mens,WHITE/BLACK-RUST PINK,Leather,https://www.jordanusd.net/product/air-jordans-1-retro-high-og-rust-pink/
Air Jordans 1 MID SE GS “Grey Camo Swoosh” DC9035-100,Rated 5.00 out of 5,11,"378.00,189.00","The Air Jordans 1 Mid SE GS “Grey Camo   is yet another versatile design of Michael Jordans’s first signature shoe in its mid-top form for kids. The “Grey Camo   executes a simple two-tone aesthetic that pairs well with the graphic-heavy vibe of children’s clothes. Clean and smooth white leather on the perforated toe and mid-panel form the base of the upper while grey tumbled leather overlays on the forefoot, eyelets, collar, and heel add subtle balance to the minimalist look. A grey and white camouflage pattern can be found on the leather   branding that appears on the mid-panel. Elsewhere, a black “Wings” logo on the collar and black Jumpman logo on the white nylon tongue tag add a classic look to the Jordans 1 Mid “Grey Camo",3-15 Days After Order,DD3235 100,Youth,White/Photon Dust-Grey,,https://www.jordanusd.net/product/air-jordans-1-retro-high-premium-grey-camo/
Air Jordans 1 Retro High OG “Royal Toe” 555088-041,Rated 5.00 out of 5,23,"378.00,189.00","The Air Jordans 1 “Royal Toe” employs a remixed color scheme that incorporates one of the model’s most essential colorways. The Spring 2020 release features the beloved Jordans 1 “Royal” hue on the perforated toe and ankle collar. A buttery smooth white leather base covers the mid-panel and Wings logo on the collar. Elsewhere, black leather overlays cover the forefoot, eyelets and heel. Jordans Brand opts for a black leather Swoosh and black nylon tongue to finish off the look reminiscent of the coveted fragment x Air Jordans 1. Release date: Spring 2020.",3-15 Days After Order,555088 041,Mens,BLACK/WHITE-GAME ROYAL-BLACK,"Boost, Canvas, Cashmere",https://www.jordanusd.net/product/air-jordans-1-high-game-royal/
Air Jordans 1 Mid Iridescent Reflective White CK6587-100,Rated 5.00 out of 5,20,"300.00,150.00","The Women’s Air Jordans 1 Mid “Iridescent Outline” is a women’s-exclusive edition of the mid-top Jordans 1 with a unique “outlined” construction. The upper is composed of a white leather base and features detailing in the form of a perforated toe, embossed tonal Wings logo on the collar and   on the mid-panel. Iridescent trimming is seen around each panel in a reflective material that changes color when hit with light. The rest of the women’s-exclusive Air Jordans 1 Mid, including the tongue, midsole, and outsole, is finished off in crisp white.",3-15 Days After Order,CK6587 100,Womens,White/White,"Boost, Canvas, Cashmere",https://www.jordanusd.net/product/air-jordans-1-high-iridescent-reflective-white/
Air Jordans 1 Mid ‘Candy’ 554725-083,Rated 5.00 out of 5,21,"300.00,150.00","The Air Jordans 1 Mid GS “Black/Orange/Purple” in youth sizing is a colorful take on the mid-top Air Jordans 1. Even in grade school sizing, the Air Jordans 1 Mid shares many of the same elements of the classic high-top as it features a black nubuck base that covers the mid-panel, collar, and toe cap.  color contrasting appears on the  branded mid-panel, with a perforated purple nubuck toe on the left shoe and a perforated turquoise nubuck covering the right shoe. Purple accenting appears on the ankle collar beneath the black overlays on the right shoe with turquoise peeking beneath the same overlay on the left shoe. Further mismatching can be found on the tongue tags with an orange base composing the left shoe and a vibrant pink base covering the right shoe. Lastly, a white rubber sole with mismatched outsoles puts the finishing touches on the playful Air Jordans 1 Mid in youth sizing.",3-15 Days After Order,,,,,https://www.jordanusd.net/product/air-jordans-1-mid-candy/
Jordans 1 “Chicago” AA3834-101,Rated 5.00 out of 5,17,"378.00,189.00","The verdict is in: Air Jordans 1 by Virgil Abloh is the sneaker of the year for 2017. The shoe absolutely everybody wants but few can get, the sneaker world has not seen a force like the Virgil Abloh Air Jordans 1 from “THE TEN” collection in a long time, if ever. Based off the original “Chicago” Air Jordans 1, the shoe features details that coincide with the rest of the ten models by Abloh like exposed foam, stitched on Swooshes, and the signature red zip tie. Sure to go down as one of the most hyped and coveted sneakers of all time, grab your piece of sneaker history now before they’re all gone.",3-15 Days After Order,AA3834 101,Mens,WHITE/BLACK-VARSITY RED,Leather,https://www.jordanusd.net/product/jordans-the-10-air-jordan-1-off-white/
Air Jordans 1 Retro High OG GS “Meant to Fly”,Rated 5.00 out of 5,32,"378.00,189.00","The Air Jordans 1 “Meant to Fly” is the special youth sizing of the shoe inspired by one of Michael Jordans’s earliest video advertisements. With jet engine sounds playing in the background, Jordans, then a young rookie in the NBA, soars through the air en route to a resounding slam dunk. Using the black, red, and white outfit—and “Bred” Air Jordans 1s Jordans wore during the shoot—as inspiration behind this Air Jordans 1. The upper features a premium leather construction with a white mid-panel and perforated toe contrasting against the black leather overlays. Red outlining breaks up each panel of the upper and a tonal Wings logo appears on the collar. The quote “Who said man was not meant to fly” appears on both insoles. Jordans Brand opts to include bold red laces to compliment the red accenting of the shoe. Release date: November 29, 2019.",3-15 Days After Order,575441 062,Youth,BLACK/GYM RED-WHITE,,https://www.jordanusd.net/product/jordans-1-retro-high-og-bloodline/
Air Jordans 1 Low Paris CV3043-100,Rated 5.00 out of 5,26,"300.00,150.00","The Air Jordans 1 Low “Paris” is a Europe-exclusive colorway of Michael Jordans’s first signature shoe that was part of February 2020’s “City Pack.” The “Paris” appears on the Air Jordans 1 Low silhouette and is inspired by the landscape of France’s capital city. Details include airy Sky Grey overlays on the toe cap, forefoot, and eyelets. The grey hue appears on the detailing found on either side of the shoe. A crisp variety of smooth white leather dots the mid-panel while grey leather appears on the perforated toe. Metallic Gold Jumpman detailing on the nylon tongue tag feeds the model’s elegant styling. Tonal embossed “Wings” branding is located on the back of the shoe on the light blue suede heel overlay. A  branded leather hang tag in reference to the French city completes the upscale design of this limited edition Jordans 1 Low. Release date: February 22, 2020.",3-15 Days After Order,CV3043 100,Mens,WHITE/SKY GREY-FOOTBALL GREY,,https://www.jordanusd.net/product/air-jordans-1-low-pairs/
Air Jordan 1 Retro High OG GS “Court Purple 2.0” 575441-555088-500,Rated 5.00 out of 5,33,"378.00,189.00","The Air Jordans 1 GS “Court Purple 2.0” is the youth sizing of the popular colorway released in spring 2020, and is part of Jordans Brand’s continuous efforts in producing coveted non-original Jordans 1 colorways. Employing a familiar formula in the line’s design history, the upper features purple leather overlays along the forefoot, eyelets, and heel that contrast a white leather perforated toe and mid-panel. Black leather Swoosh branding covers the mid-panel and a black Air Jordans “wings” logo graces the collar. A white midsole and Court Purple outsole put the finishing touches on this classy design in children’s sizing.",3-15 Days After Order,575441 500,Youth,COURT PURPLE/BLACK/WHITE,"Boost, Canvas, Cashmere",https://www.jordanusd.net/product/air-jordan-1-retro-high-og-court-purple/
Air Jordans 1 Mid “Chicago Black Toe” 554724-069,Rated 5.00 out of 5,24,"378.00,189.00","The Air Jordans 1 Mid “Chicago Black Toe” effectively integrates both the “Chicago” and “Black Toe” colorways into one on the desirable mid-top version of Michael Jordans’s first signature shoe. Since 2019, Jordans Brand has placed a renewed emphasis on creating Jordans 1 Mids that are equally as covetable as the original high and low-top editions of the shoe, and this “Chicago Black Toe” is among the finest examples. Black perforated leather and contrasting red leather overlays on the forefoot and toe cap combine to formulate the “Black Toe” look. Blazing red leather also graces the eyelets, collar, and heel, contrasting the white leather mid-panel and white nylon tongue. Black Swoosh branding appears on either side and black Wings detailing dots the collar. A black Jumpman covers the red nylon tongue tab. The white midsole is contrasted by a black outsole. The Air Jordans 1 Mid “Chicago Black Toe” was released on April 1, 2020.",3-15 Days After Order,554724 069,Mens,BLACK/GYM RED-WHITE,,https://www.jordanusd.net/product/air-jordans-1-high-chicago/
Air Jordans 1 High ‘Satin Black Toe’ CD0461-016,Rated 5.00 out of 5,25,"338.00,169.00","The Women’s Air Jordans 1 “Satin Black Toe” is a special construction of the original colorway of the Jordans 1 with satin paneling on the heel. Following the same blueprint of the “Satin Shattered Backboard” colorway that was also a women’s exclusive, this “Satin Black Toe” edition features a black and white leather upper with red satin at the heel. The Air Jordans “wings” logo on the ankle is presented in a metal medallion to complete the premium look. The Women’s Air Jordans 1 “Satin Black Toe” released on August 17, 2019 in limited quantities.",3-15 Days After Order,CD0461 016,Womens,BLACK/BLACK-WHITE-VARSITY RED,,https://www.jordanusd.net/product/air-jordans-1-high-satin-black-toe/
Air Jordans 1 Retro High “Pine Green 2.0” 555088-030,Rated 5.00 out of 5,25,"378.00,189.00","The Air Jordans 1 High “Pine Green” is the high-top version of Michael Jordanss first signature model in yet another clean color scheme. Using the team uniform colors of the Boston Celtics as inspiration, the “Pine Green” makeup features a premium black leather base on the mid-panel, forefoot and collar. Green leather on the Swoosh, perforated toe, ankle collar, and heel contrasts the look. A blacked-out Wings logo can be found on the collar with contrasting red Nike Air detailing on the tongue tag. The colorway is finished off with a classic white rubber midsole and Pine Green outsole. Release date: February 29, 2020.",3-15 Days After Order,555088 030,Mens,BLACK/WHITE-PINE GREEN/GYM RED,,https://www.jordanusd.net/product/air-jordans-1-retro-high-og-pine-green/
